threshold,sensitivity,specificity
-Inf,1,0
0.046043428,0.988906498,0.044841735
0.05248517,0.987321712,0.066822978
0.053861239,0.968304279,0.165005862
0.054475494,0.965134707,0.174970692
0.056683993,0.963549921,0.177315358
0.058995799,0.963549921,0.179660023
0.060348931,0.963549921,0.18024619
0.062245915,0.961965135,0.182883939
0.063717343,0.954041204,0.213364596
0.065352919,0.954041204,0.215416178
0.066545999,0.94770206,0.218640094
0.067108463,0.94770206,0.220691676
0.06811798,0.927099842,0.26905041
0.068881679,0.925515055,0.27080891
0.070084197,0.925515055,0.271101993
0.071425923,0.904912837,0.308323564
0.072226606,0.903328051,0.311254396
0.07375448,0.903328051,0.311547479
0.07579393,0.903328051,0.311840563
0.077023385,0.901743265,0.315650645
0.077486649,0.901743265,0.316529894
0.077736943,0.900158479,0.319167644
0.078241564,0.900158479,0.319460727
0.079074443,0.900158479,0.320339977
0.079475129,0.898573693,0.321512309
0.079879198,0.893819334,0.335580305
0.080580078,0.890649762,0.342321219
0.081099773,0.890649762,0.343200469
0.081925383,0.890649762,0.344665885
0.08309803,0.865293185,0.388921454
0.083823364,0.863708399,0.397713951
0.084208149,0.862123613,0.404161782
0.084672201,0.860538827,0.405041032
0.085021252,0.860538827,0.405334115
0.085726052,0.858954041,0.405920281
0.086550707,0.858954041,0.406799531
0.086907064,0.852614897,0.42936694
0.087907638,0.833597464,0.450468933
0.089196321,0.833597464,0.450762016
0.089888565,0.82725832,0.461899179
0.090175012,0.82725832,0.464536928
0.090504129,0.82725832,0.466295428
0.09104048,0.82725832,0.467467761
0.091454917,0.825673534,0.478311841
0.092927547,0.825673534,0.478604924
0.094490681,0.824088748,0.479777257
0.095307819,0.820919176,0.486225088
0.096085403,0.820919176,0.487104338
0.096871196,0.81933439,0.488569754
0.097660163,0.81933439,0.489742087
0.098234806,0.81933439,0.49003517
0.099080088,0.817749604,0.491207503
0.10006632,0.817749604,0.491500586
0.100879066,0.814580032,0.493552169
0.101470045,0.812995246,0.494724502
0.101926641,0.81141046,0.499706917
0.102155576,0.809825674,0.504982415
0.102293265,0.809825674,0.505568581
0.102615308,0.808240887,0.507327081
0.10307665,0.808240887,0.507620164
0.103354115,0.806656101,0.510550996
0.104006173,0.778129952,0.546307151
0.104893567,0.778129952,0.546600234
0.105410987,0.776545166,0.550996483
0.105646736,0.77496038,0.551289566
0.10612103,0.77496038,0.553341149
0.106642959,0.77496038,0.553634232
0.106785977,0.77496038,0.554220399
0.107746578,0.77496038,0.554806565
0.109097771,0.763866878,0.596424385
0.109926193,0.763866878,0.597889801
0.110366826,0.763866878,0.598475967
0.110563351,0.75911252,0.600820633
0.110809487,0.757527734,0.601113716
0.111502161,0.757527734,0.601992966
0.112396209,0.757527734,0.60873388
0.113247489,0.757527734,0.60961313
0.11390099,0.757527734,0.610199297
0.114356217,0.757527734,0.612250879
0.114812499,0.757527734,0.612543962
0.115168754,0.755942948,0.614888628
0.116142455,0.754358162,0.616354045
0.117274669,0.75118859,0.62045721
0.117949103,0.743264659,0.624267292
0.118313371,0.730586371,0.634525205
0.118522241,0.729001585,0.635111372
0.118783627,0.729001585,0.635697538
0.119308596,0.729001585,0.636283705
0.119992876,0.724247227,0.636283705
0.120521853,0.724247227,0.636869871
0.12137337,0.724247227,0.638335287
0.122281882,0.721077655,0.64126612
0.12276541,0.719492868,0.641852286
0.122980879,0.719492868,0.643024619
0.123250927,0.716323296,0.643610785
0.123738115,0.716323296,0.644490035
0.124226771,0.716323296,0.644783118
0.124498859,0.71473851,0.645955451
0.125818182,0.71473851,0.646248535
0.127249592,0.71473851,0.646541618
0.127638872,0.71473851,0.651524033
0.127917344,0.713153724,0.654161782
0.128140702,0.711568938,0.654454865
0.128476238,0.709984152,0.655334115
0.128700261,0.709984152,0.655920281
0.128868591,0.709984152,0.656213365
0.129828138,0.70681458,0.65855803
0.130732244,0.70681458,0.658851114
0.131073798,0.705229794,0.65943728
0.131587074,0.692551506,0.686400938
0.131872859,0.683042789,0.705744431
0.132274434,0.683042789,0.706623681
0.132676303,0.683042789,0.707209848
0.133137781,0.683042789,0.707796014
0.133773479,0.683042789,0.709847597
0.13406328,0.683042789,0.710433763
0.134179413,0.683042789,0.71101993
0.134412018,0.683042789,0.712192263
0.134644794,0.683042789,0.712778429
0.134819695,0.683042789,0.713071512
0.135228693,0.683042789,0.717467761
0.135873282,0.679873217,0.720398593
0.136638404,0.678288431,0.724208675
0.137110448,0.678288431,0.724501758
0.137466026,0.678288431,0.724794842
0.138418367,0.676703645,0.726260258
0.139134174,0.675118859,0.726553341
0.139313967,0.675118859,0.727432591
0.139794629,0.675118859,0.728018757
0.140396755,0.673534073,0.728898007
0.141305482,0.670364501,0.73007034
0.14221682,0.668779715,0.730656506
0.142644247,0.665610143,0.733001172
0.143627175,0.660855784,0.737983587
0.144426658,0.660855784,0.738276671
0.144736126,0.660855784,0.739449004
0.145107621,0.660855784,0.740621336
0.145542726,0.660855784,0.741207503
0.146290473,0.659270998,0.741793669
0.146915804,0.656101426,0.746189918
0.14798602,0.656101426,0.746776084
0.148868926,0.656101426,0.747069168
0.148995678,0.65451664,0.747069168
0.149186005,0.652931854,0.747362251
0.149503663,0.651347068,0.747362251
0.150333053,0.651347068,0.748827667
0.151035827,0.651347068,0.749413834
0.151549977,0.649762282,0.751465416
0.152129001,0.649762282,0.753516999
0.152775726,0.64659271,0.753516999
0.15342335,0.645007924,0.753516999
0.153618244,0.645007924,0.753810082
0.154335832,0.635499208,0.75996483
0.155382125,0.632329635,0.762016413
0.156171185,0.632329635,0.762309496
0.156698673,0.632329635,0.762895662
0.15722834,0.632329635,0.763481829
0.15795838,0.630744849,0.766705744
0.159026448,0.630744849,0.768757327
0.159896326,0.630744849,0.76905041
0.160232493,0.630744849,0.769343494
0.160636578,0.629160063,0.769343494
0.160838827,0.629160063,0.769636577
0.161176824,0.629160063,0.76992966
0.161582557,0.629160063,0.770222743
0.1619217,0.627575277,0.770515826
0.162261072,0.624405705,0.770515826
0.162533212,0.622820919,0.770515826
0.162873733,0.622820919,0.771395076
0.163557302,0.621236133,0.772274326
0.164448037,0.621236133,0.772567409
0.164929277,0.621236133,0.773153576
0.165204916,0.618066561,0.777842907
0.165550043,0.616481775,0.777842907
0.16645098,0.616481775,0.778135991
0.167214329,0.614896989,0.778135991
0.168474712,0.613312203,0.77901524
0.169806441,0.613312203,0.779601407
0.170300659,0.613312203,0.780480657
0.171008315,0.613312203,0.781066823
0.171433748,0.610142631,0.783704572
0.171575839,0.610142631,0.784583822
0.171789185,0.610142631,0.784876905
0.172002672,0.610142631,0.788100821
0.172716864,0.610142631,0.788393904
0.173718698,0.605388273,0.78898007
0.17414946,0.605388273,0.789273154
0.174437384,0.605388273,0.789566237
0.174869833,0.605388273,0.790152403
0.175086268,0.6022187,0.792790152
0.175810771,0.6022187,0.793083236
0.177191348,0.6022187,0.793376319
0.177847421,0.6022187,0.793669402
0.178286922,0.600633914,0.794255569
0.179020368,0.600633914,0.795134818
0.180052476,0.597464342,0.799237984
0.18108723,0.597464342,0.79982415
0.181681165,0.597464342,0.800996483
0.182127468,0.59429477,0.801582649
0.182350974,0.592709984,0.801582649
0.182500121,0.592709984,0.803048066
0.182798793,0.592709984,0.803341149
0.183472298,0.591125198,0.803634232
0.183921727,0.591125198,0.804220399
0.184222296,0.589540412,0.808323564
0.184673434,0.58637084,0.812426729
0.18527685,0.58637084,0.812719812
0.185729698,0.58637084,0.813012896
0.186184256,0.583201268,0.813012896
0.187095085,0.581616482,0.813012896
0.18800934,0.581616482,0.814478312
0.188850289,0.57844691,0.814478312
0.189309989,0.575277338,0.816822978
0.189617219,0.575277338,0.817409144
0.190078636,0.573692552,0.819167644
0.191548406,0.570522979,0.822098476
0.192942968,0.570522979,0.822391559
0.193254591,0.570522979,0.822684642
0.193722887,0.568938193,0.823856975
0.194426838,0.568938193,0.824150059
0.195289854,0.568938193,0.824736225
0.195840052,0.568938193,0.825029308
0.195997587,0.565768621,0.825615475
0.196155217,0.565768621,0.825908558
0.196628971,0.565768621,0.826201641
0.197103012,0.561014263,0.827667057
0.197419807,0.561014263,0.827960141
0.197736793,0.559429477,0.83147714
0.198133865,0.559429477,0.831770223
0.198690437,0.557844691,0.831770223
0.199969128,0.551505547,0.832942556
0.201330593,0.551505547,0.833235639
0.201732704,0.551505547,0.833528722
0.201974403,0.549920761,0.834114889
0.202458522,0.546751189,0.836459555
0.203267308,0.545166403,0.836459555
0.204159352,0.545166403,0.837338804
0.20464693,0.543581616,0.837338804
0.204891224,0.54199683,0.837631887
0.205544021,0.540412044,0.837631887
0.20636146,0.540412044,0.838218054
0.207099536,0.538827258,0.839097304
0.208004273,0.538827258,0.839390387
0.208828927,0.530903328,0.843493552
0.209822552,0.530903328,0.845838218
0.211068552,0.530903328,0.846131301
0.211985461,0.530903328,0.846717468
0.212570632,0.530903328,0.847303634
0.213325161,0.527733756,0.848182884
0.214756106,0.527733756,0.848475967
0.215852859,0.527733756,0.849062134
0.217041721,0.527733756,0.849355217
0.218061323,0.527733756,0.849941383
0.218402728,0.527733756,0.850234467
0.218829606,0.52614897,0.851699883
0.220289158,0.522979398,0.852286049
0.221922247,0.521394612,0.852286049
0.222267689,0.519809826,0.852286049
0.22252713,0.519809826,0.853165299
0.222786715,0.519809826,0.853458382
0.223046588,0.519809826,0.853751465
0.223653967,0.51822504,0.853751465
0.225836364,0.516640254,0.853751465
0.227936642,0.513470681,0.854044549
0.228817985,0.511885895,0.856682298
0.229435763,0.510301109,0.856682298
0.230144282,0.494453249,0.861078546
0.230853183,0.494453249,0.86137163
0.232100449,0.494453249,0.861957796
0.233527424,0.494453249,0.862250879
0.234603952,0.494453249,0.862543962
0.235502012,0.494453249,0.862837046
0.235682101,0.494453249,0.865181712
0.236042659,0.492868463,0.865181712
0.236493713,0.489698891,0.865474795
0.236674277,0.489698891,0.866060961
0.237126521,0.489698891,0.866354045
0.238395796,0.488114105,0.866354045
0.239486027,0.486529319,0.866647128
0.239850386,0.486529319,0.866940211
0.240124012,0.484944532,0.868405627
0.241129912,0.483359746,0.868991794
0.242228679,0.48177496,0.868991794
0.2426878,0.48177496,0.869284877
0.24305557,0.48177496,0.86957796
0.243884966,0.480190174,0.869871043
0.244622774,0.478605388,0.869871043
0.245177829,0.478605388,0.870164127
0.245733167,0.478605388,0.871043376
0.246289918,0.478605388,0.872801876
0.246846953,0.477020602,0.873388042
0.247405399,0.47385103,0.873681125
0.248431027,0.472266244,0.873681125
0.249271868,0.470681458,0.874560375
0.249646233,0.470681458,0.874853458
0.25002116,0.469096672,0.874853458
0.250772139,0.464342314,0.875439625
0.251618465,0.462757528,0.875439625
0.252089349,0.461172742,0.875439625
0.253508302,0.459587956,0.876025791
0.255213144,0.459587956,0.876318875
0.25587891,0.459587956,0.876611958
0.256736986,0.45800317,0.876905041
0.257692028,0.456418384,0.877784291
0.258457916,0.454833597,0.880128957
0.259321415,0.453248811,0.88042204
0.260282938,0.453248811,0.880715123
0.261246769,0.446909667,0.881887456
0.26328096,0.443740095,0.882180539
0.264930029,0.443740095,0.882473623
0.265124817,0.442155309,0.882473623
0.265417205,0.442155309,0.882766706
0.26570973,0.440570523,0.883645955
0.266295739,0.437400951,0.884232122
0.26717578,0.437400951,0.884525205
0.267665376,0.437400951,0.885111372
0.268155883,0.434231379,0.885111372
0.268548379,0.434231379,0.885404455
0.268941603,0.431061807,0.888042204
0.269728777,0.429477021,0.88950762
0.270813884,0.427892235,0.889800703
0.272099224,0.427892235,0.890093787
0.273090431,0.427892235,0.89038687
0.273586823,0.427892235,0.890679953
0.273885064,0.427892235,0.890973036
0.274482219,0.427892235,0.891852286
0.275179686,0.427892235,0.892438453
0.275578687,0.427892235,0.892731536
0.275978226,0.427892235,0.893903869
0.276678202,0.416798732,0.899179367
0.277078456,0.416798732,0.89947245
0.277178632,0.415213946,0.89947245
0.277880795,0.41362916,0.9003517
0.278683803,0.41362916,0.900644783
0.279086019,0.41362916,0.900937866
0.279488591,0.41362916,0.90123095
0.280396174,0.412044374,0.902403283
0.281506903,0.412044374,0.902696366
0.283129221,0.410459588,0.902989449
0.285264515,0.410459588,0.903282532
0.286488631,0.410459588,0.903868699
0.287102262,0.410459588,0.904161782
0.287716677,0.393026941,0.91119578
0.288537289,0.393026941,0.911488863
0.289256084,0.393026941,0.912075029
0.289667432,0.393026941,0.912954279
0.290182156,0.391442155,0.913247362
0.290697313,0.388272583,0.914126612
0.291316408,0.388272583,0.914419695
0.293179879,0.388272583,0.915005862
0.295150539,0.388272583,0.915298945
0.295878965,0.386687797,0.915298945
0.29660888,0.386687797,0.915592028
0.298281658,0.385103011,0.915592028
0.300062932,0.383518225,0.915592028
0.301113896,0.381933439,0.916178195
0.302272947,0.380348653,0.917057444
0.303751311,0.380348653,0.917350528
0.304597422,0.380348653,0.917643611
0.305021306,0.378763867,0.917936694
0.305445355,0.377179081,0.917936694
0.305763701,0.375594295,0.917936694
0.306082171,0.375594295,0.918229777
0.306294608,0.375594295,0.91852286
0.30693266,0.375594295,0.918815944
0.307890659,0.375594295,0.919988277
0.308850502,0.374009509,0.921746776
0.310883792,0.374009509,0.922039859
0.31259831,0.372424723,0.922039859
0.313890002,0.372424723,0.922332943
0.315398659,0.370839937,0.922626026
0.316046665,0.370839937,0.922919109
0.318106586,0.370839937,0.923212192
0.320059157,0.370839937,0.923505275
0.320167968,0.369255151,0.923505275
0.321804805,0.356576862,0.925849941
0.323879606,0.354992076,0.925849941
0.325085486,0.354992076,0.926143025
0.326733315,0.35340729,0.927022274
0.327943823,0.35340729,0.927315358
0.330043323,0.350237718,0.927315358
0.332700269,0.350237718,0.927608441
0.333921938,0.329635499,0.931711606
0.334366848,0.328050713,0.931711606
0.33458945,0.297939778,0.937866354
0.33536946,0.297939778,0.938159437
0.336149726,0.296354992,0.938159437
0.337379072,0.294770206,0.938452521
0.33872083,0.29318542,0.938452521
0.34017933,0.291600634,0.938745604
0.341526285,0.286846276,0.939624853
0.342314132,0.286846276,0.939917937
0.343779119,0.28526149,0.94109027
0.346606918,0.28526149,0.941383353
0.348985927,0.283676704,0.941383353
0.349895391,0.283676704,0.941676436
0.350577898,0.283676704,0.941969519
0.35114742,0.282091918,0.941969519
0.351831152,0.280507132,0.941969519
0.352287379,0.280507132,0.942262603
0.353086601,0.280507132,0.942555686
0.353886292,0.280507132,0.942848769
0.354458169,0.278922345,0.943141852
0.355144921,0.278922345,0.943434936
0.357440685,0.269413629,0.944900352
0.359508054,0.267828843,0.944900352
0.360199324,0.267828843,0.945193435
0.361698953,0.266244057,0.945193435
0.363316395,0.263074485,0.945779601
0.366448041,0.263074485,0.946072685
0.369118604,0.250396197,0.947245018
0.369584466,0.250396197,0.947538101
0.369817458,0.24881141,0.947538101
0.369933999,0.244057052,0.949003517
0.370400347,0.242472266,0.949003517
0.37110023,0.242472266,0.9492966
0.371683842,0.24088748,0.9492966
0.372151031,0.24088748,0.949589683
0.373320494,0.237717908,0.95017585
0.374490549,0.236133122,0.95017585
0.374841964,0.234548336,0.95017585
0.375193555,0.23296355,0.950468933
0.376366836,0.231378764,0.950762016
0.377540698,0.229793978,0.950762016
0.378363712,0.229793978,0.9510551
0.380720006,0.229793978,0.951348183
0.383079112,0.228209192,0.951348183
0.384853639,0.228209192,0.951934349
0.386155862,0.228209192,0.952227433
0.388174331,0.226624406,0.952227433
0.390907624,0.226624406,0.953399766
0.392575578,0.226624406,0.953692849
0.394126559,0.226624406,0.953985932
0.395081923,0.226624406,0.954279015
0.395440449,0.22503962,0.954279015
0.396517146,0.221870048,0.954865182
0.397713848,0.221870048,0.955158265
0.39819302,0.220285261,0.955158265
0.398792291,0.220285261,0.955451348
0.399151927,0.220285261,0.956037515
0.399271854,0.220285261,0.956623681
0.399751706,0.218700475,0.956916764
0.40263707,0.217115689,0.957209848
0.405765308,0.217115689,0.957502931
0.406850754,0.213946117,0.958382181
0.407454118,0.206022187,0.96014068
0.408299608,0.204437401,0.96014068
0.409145253,0.202852615,0.96014068
0.410112846,0.202852615,0.960433763
0.411443881,0.202852615,0.960726846
0.412170483,0.201267829,0.960726846
0.412533944,0.199683043,0.96101993
0.413140029,0.199683043,0.961313013
0.414231549,0.198098257,0.961313013
0.41556677,0.198098257,0.961606096
0.417511358,0.198098257,0.961899179
0.419214281,0.198098257,0.962192263
0.419701228,0.194928685,0.962192263
0.420310351,0.193343899,0.962192263
0.421773056,0.191759113,0.962192263
0.423359015,0.190174326,0.962192263
0.424580016,0.183835182,0.963364596
0.426046762,0.182250396,0.964536928
0.42714723,0.182250396,0.964830012
0.427759139,0.174326466,0.965416178
0.428616058,0.169572108,0.966295428
0.429596022,0.169572108,0.966588511
0.430453793,0.167987322,0.966588511
0.43155756,0.167987322,0.966881594
0.432784387,0.166402536,0.966881594
0.433766643,0.166402536,0.968347011
0.435240996,0.166402536,0.968640094
0.436470263,0.16481775,0.968640094
0.436962222,0.160063391,0.96922626
0.437331308,0.160063391,0.969519343
0.43770044,0.155309033,0.969812427
0.439178149,0.155309033,0.97010551
0.442382893,0.155309033,0.970398593
0.444479903,0.153724247,0.970398593
0.444973793,0.152139461,0.970398593
0.445838431,0.150554675,0.970398593
0.447197732,0.150554675,0.971277843
0.448063018,0.148969889,0.971864009
0.448681402,0.147385103,0.972450176
0.4501662,0.142630745,0.973036342
0.452271012,0.141045959,0.973329426
0.453509678,0.141045959,0.973622509
0.455245572,0.139461173,0.973622509
0.45735391,0.137876387,0.973915592
0.458967694,0.137876387,0.974208675
0.462819881,0.131537242,0.975674091
0.465679058,0.131537242,0.975967175
0.466176753,0.129952456,0.976260258
0.466674482,0.12836767,0.977139508
0.468666554,0.126782884,0.977139508
0.471655565,0.125198098,0.977139508
0.473524844,0.123613312,0.977139508
0.474397413,0.123613312,0.977432591
0.47489614,0.122028526,0.977432591
0.475644305,0.12044374,0.977432591
0.47614313,0.118858954,0.978018757
0.476642027,0.118858954,0.978311841
0.479137497,0.117274168,0.978311841
0.481882963,0.115689382,0.978311841
0.484380304,0.114104596,0.978311841
0.486503283,0.11251981,0.978311841
0.487252776,0.110935024,0.978311841
0.488751943,0.109350238,0.978604924
0.489876384,0.107765452,0.978604924
0.491375921,0.107765452,0.978898007
0.492875483,0.107765452,0.97919109
0.493375391,0.107765452,0.979484174
0.494000289,0.106180666,0.979484174
0.494500223,0.10459588,0.979484174
0.49600011,0.10459588,0.979777257
0.497375024,0.10459588,0.98007034
0.49875001,0.103011094,0.98007034
0.501374986,0.101426307,0.98007034
0.503624925,0.099841521,0.980363423
0.504749856,0.099841521,0.980656506
0.505249806,0.098256735,0.98094959
0.505749745,0.096671949,0.98094959
0.508623907,0.093502377,0.981828839
0.512622222,0.091917591,0.981828839
0.514495922,0.083993661,0.982708089
0.516993181,0.082408875,0.983001172
0.519614898,0.082408875,0.983294256
0.52223497,0.080824089,0.983294256
0.525353109,0.079239303,0.984173505
0.529464761,0.079239303,0.984466589
0.533823011,0.076069731,0.984466589
0.539415201,0.072900158,0.984759672
0.54376273,0.071315372,0.984759672
0.544258834,0.071315372,0.985052755
0.544754894,0.071315372,0.985345838
0.5467375,0.069730586,0.985638921
0.549091289,0.069730586,0.985932005
0.549833985,0.0681458,0.985932005
0.553047696,0.066561014,0.985932005
0.556754227,0.064976228,0.985932005
0.558234389,0.064976228,0.986225088
0.559220707,0.064976228,0.986518171
0.560575686,0.064976228,0.987104338
0.561807262,0.064976228,0.987397421
0.56229953,0.063391442,0.987397421
0.562791736,0.061806656,0.987397421
0.564021319,0.061806656,0.987690504
0.566601253,0.06022187,0.987983587
0.570769514,0.06022187,0.988276671
0.573953455,0.058637084,0.988276671
0.57931652,0.058637084,0.988569754
0.584918889,0.058637084,0.988862837
0.585768576,0.057052298,0.988862837
0.586374977,0.057052298,0.98915592
0.589280323,0.055467512,0.98915592
0.592183596,0.055467512,0.989449004
0.594354273,0.055467512,0.99003517
0.596763856,0.053882726,0.990328253
0.598807067,0.050713154,0.990328253
0.601805809,0.050713154,0.990621336
0.606347493,0.050713154,0.99091442
0.610519553,0.049128368,0.991500586
0.612183491,0.047543582,0.992086753
0.612658267,0.045958796,0.992086753
0.613014149,0.045958796,0.992379836
0.614080826,0.045958796,0.992672919
0.618919749,0.045958796,0.992966002
0.623750623,0.04437401,0.992966002
0.624689248,0.042789223,0.992966002
0.627144793,0.041204437,0.992966002
0.6348148,0.041204437,0.993259086
0.642672546,0.041204437,0.993552169
0.64702566,0.041204437,0.993845252
0.65010379,0.039619651,0.993845252
0.65260178,0.039619651,0.994138335
0.656554542,0.038034865,0.994138335
0.659709374,0.034865293,0.994138335
0.664394704,0.031695721,0.994724502
0.673795907,0.028526149,0.994724502
0.679831406,0.028526149,0.995017585
0.682543793,0.028526149,0.995310668
0.685140567,0.026941363,0.995310668
0.691125263,0.025356577,0.995310668
0.701381265,0.025356577,0.995603751
0.70795824,0.023771791,0.995603751
0.711356815,0.023771791,0.995896835
0.714733909,0.022187005,0.995896835
0.718588547,0.020602219,0.995896835
0.723315541,0.020602219,0.996189918
0.726412637,0.019017433,0.996189918
0.727504699,0.019017433,0.996483001
0.730460666,0.019017433,0.996776084
0.736897524,0.019017433,0.997069168
0.741637148,0.017432647,0.997069168
0.742881415,0.017432647,0.997362251
0.745634177,0.017432647,0.997655334
0.757551747,0.015847861,0.997655334
0.774689039,0.015847861,0.997948417
0.786311736,0.014263074,0.997948417
0.794023529,0.012678288,0.997948417
0.798025453,0.011093502,0.998241501
0.800899057,0.011093502,0.998827667
0.806647392,0.009508716,0.998827667
0.813186307,0.00792393,0.998827667
0.816902062,0.006339144,0.998827667
0.819567974,0.004754358,0.998827667
0.822079352,0.003169572,0.998827667
0.823027014,0.003169572,0.99912075
0.826267252,0.001584786,0.99912075
0.830956376,0.001584786,0.999413834
0.840952638,0.001584786,0.999706917
0.85303322,0.001584786,1
Inf,0,1
